Allocated 65536 bytes at src/engine/engine.c:94, address: 02bf6fe8
Freed memory at src/engine/engine.c:112, address: 02bf6fe8
Allocated 143360 bytes at src/scenes/sceneDiskLoader.c:1299, address: 02bf6fe8
Allocated 143360 bytes at src/scenes/sceneDiskLoader.c:1300, address: 02c19ff0
Allocated 7200 bytes at src/scenes/sceneDiskLoader.c:188, address: 014dc648
Allocated 512 bytes at src/scenes/sceneDiskLoader.c:88, address: 014dafe0
Allocated 8 bytes at src/scenes/sceneDiskLoader.c:124, address: 014db1e8
Freed memory at src/scenes/sceneDiskLoader.c:227, address: 014dafe0
Freed memory at src/scenes/sceneDiskLoader.c:228, address: 014db1e8
Allocated 1024 bytes at src/scenes/sceneDiskLoader.c:88, address: 014d9678
Allocated 8 bytes at src/scenes/sceneDiskLoader.c:124, address: 014db600
Freed memory at src/scenes/sceneDiskLoader.c:227, address: 014d9678
Freed memory at src/scenes/sceneDiskLoader.c:228, address: 014db600
Allocated 8448 bytes at src/scenes/sceneDiskLoader.c:88, address: 02c3cff8
Allocated 8 bytes at src/scenes/sceneDiskLoader.c:124, address: 014db600
Freed memory at src/scenes/sceneDiskLoader.c:227, address: 02c3cff8
Freed memory at src/scenes/sceneDiskLoader.c:228, address: 014db600
Allocated 4864 bytes at src/scenes/sceneDiskLoader.c:88, address: 02c3cff8
Allocated 8 bytes at src/scenes/sceneDiskLoader.c:124, address: 014db600
Freed memory at src/scenes/sceneDiskLoader.c:227, address: 02c3cff8
Freed memory at src/scenes/sceneDiskLoader.c:228, address: 014db600
Allocated 11264 bytes at src/scenes/sceneDiskLoader.c:88, address: 02c3cff8
Allocated 8 bytes at src/scenes/sceneDiskLoader.c:124, address: 014db600
Freed memory at src/scenes/sceneDiskLoader.c:227, address: 02c3cff8
Freed memory at src/scenes/sceneDiskLoader.c:228, address: 014db600
Allocated 14592 bytes at src/scenes/sceneDiskLoader.c:88, address: 02c3cff8
Allocated 8 bytes at src/scenes/sceneDiskLoader.c:124, address: 014db600
Freed memory at src/scenes/sceneDiskLoader.c:227, address: 02c3cff8
Freed memory at src/scenes/sceneDiskLoader.c:228, address: 014db600
Allocated 12288 bytes at src/scenes/sceneDiskLoader.c:88, address: 02c3cff8
Allocated 8 bytes at src/scenes/sceneDiskLoader.c:124, address: 014db600
Freed memory at src/scenes/sceneDiskLoader.c:227, address: 02c3cff8
Freed memory at src/scenes/sceneDiskLoader.c:228, address: 014db600
Allocated 11776 bytes at src/scenes/sceneDiskLoader.c:88, address: 02c3cff8
Allocated 8 bytes at src/scenes/sceneDiskLoader.c:124, address: 014db600
Freed memory at src/scenes/sceneDiskLoader.c:227, address: 02c3cff8
Freed memory at src/scenes/sceneDiskLoader.c:228, address: 014db600
Allocated 2816 bytes at src/scenes/sceneDiskLoader.c:88, address: 014de270
Allocated 8 bytes at src/scenes/sceneDiskLoader.c:124, address: 014db600
Freed memory at src/scenes/sceneDiskLoader.c:227, address: 014de270
Freed memory at src/scenes/sceneDiskLoader.c:228, address: 014db600
Allocated 2816 bytes at src/scenes/sceneDiskLoader.c:88, address: 014de270
Allocated 8 bytes at src/scenes/sceneDiskLoader.c:124, address: 014db600
Freed memory at src/scenes/sceneDiskLoader.c:227, address: 014de270
Freed memory at src/scenes/sceneDiskLoader.c:228, address: 014db600
Allocated 2816 bytes at src/scenes/sceneDiskLoader.c:88, address: 014de270
Allocated 8 bytes at src/scenes/sceneDiskLoader.c:124, address: 014db600
Freed memory at src/scenes/sceneDiskLoader.c:227, address: 014de270
Freed memory at src/scenes/sceneDiskLoader.c:228, address: 014db600
Allocated 2816 bytes at src/scenes/sceneDiskLoader.c:88, address: 014de270
Allocated 8 bytes at src/scenes/sceneDiskLoader.c:124, address: 014db600
Freed memory at src/scenes/sceneDiskLoader.c:227, address: 014de270
Freed memory at src/scenes/sceneDiskLoader.c:228, address: 014db600
Allocated 2560 bytes at src/scenes/sceneDiskLoader.c:88, address: 014de270
Allocated 8 bytes at src/scenes/sceneDiskLoader.c:124, address: 014db600
Freed memory at src/scenes/sceneDiskLoader.c:227, address: 014de270
Freed memory at src/scenes/sceneDiskLoader.c:228, address: 014db600
Allocated 8704 bytes at src/scenes/sceneDiskLoader.c:88, address: 02c3cff8
Allocated 8 bytes at src/scenes/sceneDiskLoader.c:124, address: 014db600
Freed memory at src/scenes/sceneDiskLoader.c:227, address: 02c3cff8
Freed memory at src/scenes/sceneDiskLoader.c:228, address: 014db600
Allocated 512 bytes at src/scenes/sceneDiskLoader.c:88, address: 014dafe0
Allocated 8 bytes at src/scenes/sceneDiskLoader.c:124, address: 014db1e8
Freed memory at src/scenes/sceneDiskLoader.c:227, address: 014dafe0
Freed memory at src/scenes/sceneDiskLoader.c:228, address: 014db1e8
Allocated 1024 bytes at src/scenes/sceneDiskLoader.c:88, address: 014d9678
Allocated 8 bytes at src/scenes/sceneDiskLoader.c:124, address: 014db600
Freed memory at src/scenes/sceneDiskLoader.c:227, address: 014d9678
Freed memory at src/scenes/sceneDiskLoader.c:228, address: 014db600
Allocated 1024 bytes at src/scenes/sceneDiskLoader.c:88, address: 014d9678
Allocated 8 bytes at src/scenes/sceneDiskLoader.c:124, address: 014db600
Freed memory at src/scenes/sceneDiskLoader.c:227, address: 014d9678
Freed memory at src/scenes/sceneDiskLoader.c:228, address: 014db600
Allocated 1024 bytes at src/scenes/sceneDiskLoader.c:88, address: 014d9678
Allocated 8 bytes at src/scenes/sceneDiskLoader.c:124, address: 014db600
Freed memory at src/scenes/sceneDiskLoader.c:227, address: 014d9678
Freed memory at src/scenes/sceneDiskLoader.c:228, address: 014db600
Allocated 768 bytes at src/scenes/sceneDiskLoader.c:88, address: 014d9678
Allocated 8 bytes at src/scenes/sceneDiskLoader.c:124, address: 014db600
Freed memory at src/scenes/sceneDiskLoader.c:227, address: 014d9678
Freed memory at src/scenes/sceneDiskLoader.c:228, address: 014db600
Allocated 1280 bytes at src/scenes/sceneDiskLoader.c:88, address: 014d9678
Allocated 8 bytes at src/scenes/sceneDiskLoader.c:124, address: 014db600
Freed memory at src/scenes/sceneDiskLoader.c:227, address: 014d9678
Freed memory at src/scenes/sceneDiskLoader.c:228, address: 014db600
Allocated 512 bytes at src/scenes/sceneDiskLoader.c:88, address: 014dafe0
Allocated 8 bytes at src/scenes/sceneDiskLoader.c:124, address: 014db1e8
Freed memory at src/scenes/sceneDiskLoader.c:227, address: 014dafe0
Freed memory at src/scenes/sceneDiskLoader.c:228, address: 014db1e8
Allocated 1536 bytes at src/scenes/sceneDiskLoader.c:88, address: 014de270
Allocated 8 bytes at src/scenes/sceneDiskLoader.c:124, address: 014db600
Freed memory at src/scenes/sceneDiskLoader.c:227, address: 014de270
Freed memory at src/scenes/sceneDiskLoader.c:228, address: 014db600
Allocated 768 bytes at src/scenes/sceneDiskLoader.c:88, address: 014d9678
Allocated 8 bytes at src/scenes/sceneDiskLoader.c:124, address: 014db600
Freed memory at src/scenes/sceneDiskLoader.c:227, address: 014d9678
Freed memory at src/scenes/sceneDiskLoader.c:228, address: 014db600
Allocated 512 bytes at src/scenes/sceneDiskLoader.c:88, address: 014dafe0
Allocated 8 bytes at src/scenes/sceneDiskLoader.c:124, address: 014db1e8
